Date	Range 1	Range 2	Average
1862-1-1	99.50	98.52	99.01
1862-1-2	99.01	98.77	98.89
1862-1-3	99.01	98.77	98.89
1862-1-4	98.28	98.04	98.16
1862-1-5			
1862-1-6	97.80	97.56	97.68
1862-1-7	97.32	97.09	97.21
1862-1-8	96.62		96.62
1862-1-9	95.92		95.92
1862-1-10	95.69	95.24	95.47
1862-1-11	96.62	96.15	96.39
1862-1-12			
1862-1-13	97.09	97.09	97.09
1862-1-14	97.32	96.85	97.09
1862-1-15	97.56	97.33	97.45
1862-1-16	97.80	97.56	97.68
1862-1-17	98.16	98.04	98.10
1862-1-18	98.28	98.04	98.16
1862-1-19			
1862-1-20	97.80	97.56	97.68
1862-1-21	97.80	97.56	97.68
1862-1-22	97.44	97.21	97.33
1862-1-23	96.74	96.39	96.57
1862-1-24	96.74	96.62	96.68
1862-1-25	97.09	96.85	96.97
1862-1-26			
1862-1-27	97.09	96.85	96.97
1862-1-28	96.74	96.74	96.74
1862-1-29	96.85	96.74	96.80
1862-1-30	96.85	96.62	96.74
1862-1-31	96.62	96.50	96.56
1862-2-1	96.62	96.62	96.62
1862-2-2			
1862-2-3	96.74	96.62	96.68
1862-2-4	96.62	96.50	96.56
1862-2-5	96.74	96.62	96.68
1862-2-6	96.74	96.62	96.68
1862-2-7	96.74	96.50	96.62
1862-2-8	96.62	96.50	96.56
1862-2-9			
1862-2-10	96.50	96.27	96.39
1862-2-11	96.27	96.15	96.21
1862-2-12	96.15	96.04	96.10
1862-2-13	95.92	95.81	95.87
1862-2-14	95.81	95.58	95.70
1862-2-15	95.58	95.47	95.53
1862-2-16			
1862-2-17	96.39	96.27	96.33
1862-2-18	96.74	96.39	96.57
1862-2-19	97.09	96.85	96.97
1862-2-20	96.85	96.74	96.80
1862-2-21	96.97	96.97	96.97
1862-2-22	97.09	97.09	97.09
1862-2-23			
1862-2-24	97.09	96.85	96.97
1862-2-25	97.09	96.97	97.03
1862-2-26	97.21	96.97	97.09
1862-2-27	97.92	97.80	97.86
1862-2-28	97.92	97.80	97.86
1862-3-1	97.68	97.56	97.62
1862-3-2			
1862-3-3	98.04	97.68	97.86
1862-3-4	98.16	98.04	98.10
1862-3-5	98.04	98.04	98.04
1862-3-6	98.04	97.92	97.98
1862-3-7	98.04	97.92	97.98
1862-3-8	98.28	98.16	98.22
1862-3-9			
1862-3-10	98.04	98.04	98.04
1862-3-11	98.40	98.28	98.34
1862-3-12	98.40	98.40	98.40
1862-3-13	98.52	98.52	98.52
1862-3-14	98.52	98.40	98.46
1862-3-15	98.52	98.52	98.52
1862-3-16			
1862-3-17	98.52	98.40	98.46
1862-3-18	98.64	98.52	98.58
1862-3-19	98.52	98.40	98.46
1862-3-20	98.77	98.64	98.71
1862-3-21	98.77	98.52	98.65
1862-3-22	98.77	98.64	98.71
1862-3-23			
1862-3-24	98.77	98.64	98.71
1862-3-25	98.89	98.77	98.83
1862-3-26	98.77	98.64	98.71
1862-3-27	98.77	98.28	98.53
1862-3-28	98.77	98.64	98.71
1862-3-29	98.52	98.52	98.52
1862-3-30			
1862-3-31	98.64	98.28	98.46
1862-4-1	98.16	98.04	98.10
1862-4-2	98.04	97.68	97.86
1862-4-3	98.28	98.16	98.22
1862-4-4	98.28	98.16	98.22
1862-4-5	98.16	98.04	98.10
1862-4-6			
1862-4-7	97.92	97.80	97.86
1862-4-8	98.52	97.92	98.22
1862-4-9	98.28	98.16	98.22
1862-4-10	98.28	98.16	98.22
1862-4-11	98.16	98.04	98.10
1862-4-12	98.28	98.04	98.16
1862-4-13			
1862-4-14	98.28	98.16	98.22
1862-4-15	98.28	98.16	98.22
1862-4-16	98.40	98.40	98.40
1862-4-17	98.52	98.40	98.46
1862-4-18	98.52	98.52	98.52
1862-4-19	98.52	98.40	98.46
1862-4-20			
1862-4-21	98.40	98.40	98.40
1862-4-22	98.40	98.40	98.40
1862-4-23	98.40	98.28	98.34
1862-4-24	98.52	98.40	98.46
1862-4-25	98.52	98.52	98.52
1862-4-26	98.52	98.40	98.46
1862-4-27			
1862-4-28	98.40	98.28	98.34
1862-4-29	98.28	98.28	98.28
1862-4-30	98.04	98.04	98.04
1862-5-1	97.92	97.80	97.86
1862-5-2	97.80	97.56	97.68
1862-5-3	97.56	97.32	97.44
1862-5-4			
1862-5-5	96.97	96.39	96.68
1862-5-6	97.44	96.73	97.09
1862-5-7	97.68	97.32	97.50
1862-5-8	97.32	97.09	97.21
1862-5-9	96.97	96.85	96.91
1862-5-10	96.85	96.74	96.80
1862-5-11			
